"objectid","zip_code","populationtotals_totpop_cy","positive","casesp100000","zipint","activecases","activecaserate","shape_length","shape_area"
"1","78002","9061","1154","12827.92352","78002","15","166.7407737","0.427542059","0.009546238"
"2","78006","5243","333","5811.518325","78006","4","69.80802792","0.55272516","0.005416492"
"4","78015","12254","821","6389.105058","78015","5","38.91050584","0.278955129","0.002312008"
"5","78023","29569","2188","7403.647684","78023","25","84.59378067","0.886454761","0.017921694"
"7","78052","699","49","6980.05698","78052","7","997.1509972","0.260085446","0.001146763"
"12","78069","2290","250","10803.80294","78069","2","86.43042351","0.254858728","0.002040969"
"13","78073","7312","1010","13473.85272","78073","9","120.0640342","0.580797712","0.011684798"
"14","78101","4485","343","7720.009003","78101","3","67.52194463","0.543171951","0.006502197"
"15","78108","880","17","1725.888325","78108","1","101.5228426","0.304887307","0.000857617"
"16","78109","50260","4561","8878.895832","78109","56","109.0151648","0.737848687","0.007681901"
"17","78112","8791","1026","11635.29145","78112","8","90.72352007","0.542672386","0.011407797"
"20","78124","614","13","2006.17284","78124","0","0","0.457998826","0.002457114"
"21","78148","20881","1701","8319.475692","78148","13","63.58211875","0.308430817","0.001467862"
"22","78150","294","9","3169.014085","78150","0","0","0.253047859","0.000889137"
"23","78152","2234","309","12389.73536","78152","4","160.3849238","0.495777478","0.007844508"
"24","78154","12029","633","5043.824701","78154","7","55.77689243","0.739526072","0.004309989"
"27","78201","45977","5417","12002.83619","78201","58","128.5147681","0.247548532","0.001720515"
"28","78202","12654","1360","10572.1393","78202","19","147.699005","0.125396079","0.000595885"
"29","78203","5888","761","13255.5304","78203","15","261.2785229","0.09805268","0.00031766"
"30","78204","13172","1495","10477.25839","78204","13","91.10659472","0.158998399","0.000669551"
"31","78205","1633","178","10735.8263","78205","2","120.6272618","0.120517878","0.000239364"
"32","78207","58019","7617","13157.03107","78207","80","138.1859638","0.200003384","0.001818122"
"33","78208","5262","539","9791.099001","78208","6","108.9918256","0.102264617","0.000242633"
"34","78209","42456","2990","7188.191172","78209","32","76.93047408","0.2506019","0.00241631"
"35","78210","39242","4326","11360.8908","78210","48","126.0570408","0.261500777","0.001831173"
"36","78211","32211","4873","15316.67452","78211","43","135.1563728","0.318946413","0.00241266"
"37","78212","29916","2710","9276.374341","78212","26","88.99842541","0.204094906","0.001698983"
"38","78213","42065","4655","11303.4821","78213","42","101.9863047","0.238127833","0.001880856"
"39","78214","24155","3430","14429.34668","78214","30","126.2041984","0.393022289","0.003142416"
"40","78215","4445","315","6478.815302","78215","2","41.13533525","0.101510445","0.000252615"
"41","78216","37499","3669","9936.357481","78216","25","67.70480704","0.292918076","0.003392777"
"42","78217","32205","2881","9048.935235","78217","26","81.66342107","0.297492486","0.002394803"
"43","78218","37306","3681","10021.78056","78218","39","106.1802341","0.282249032","0.002632771"
"44","78219","16333","1803","11261.71143","78219","36","224.8594628","0.41252409","0.003455865"
"45","78220","17459","2232","12947.38674","78220","35","203.0280179","0.326720497","0.002620558"
"46","78221","40109","5735","14289.9858","78221","52","129.5691825","0.62274793","0.007990587"
"47","78222","22529","2977","13141.16712","78222","28","123.5984815","0.405847443","0.003968036"
"48","78223","55608","7194","13134.44826","78223","65","118.6737749","0.961477671","0.009945271"
"49","78224","20239","3652","17996.35342","78224","48","236.5347657","0.4362202","0.003676469"
"50","78225","12982","1988","15539.7483","78225","17","132.8851716","0.099040602","0.000459708"
"51","78226","6269","1089","17875.90282","78226","21","344.7143795","0.219270267","0.000926277"
"52","78227","47269","6227","13184.13754","78227","58","122.8007029","0.401205101","0.003364672"
"53","78228","62538","7954","12898.0995","78228","49","79.45774145","0.245259022","0.002719354"
"54","78229","31602","3078","9673.465539","78229","39","122.5682768","0.182495933","0.001369011"
"55","78230","42740","3487","8268.715468","78230","31","73.51023215","0.24825369","0.002503687"
"56","78231","10967","614","5732.959851","78231","12","112.0448179","0.225308648","0.001094628"
"57","78232","37942","2565","6896.273593","78232","28","75.28095929","0.239645125","0.002875325"
"58","78233","48110","4245","8937.218409","78233","42","88.42477578","0.317882386","0.003316975"
"59","78234","7288","424","6004.815182","78234","7","99.1360997","0.227581834","0.001267701"
"60","78235","3182","210","6591.3371","78235","2","62.77463905","0.100441654","0.000513576"
"61","78236","11007","3387","31124.79324","78236","72","661.6430803","0.452838569","0.003259278"
"62","78237","36938","6595","17998.4717","78237","60","163.7465204","0.173880398","0.001668031"
"63","78238","26671","2834","10562.80283","78238","21","78.27059262","0.257059055","0.002244302"
"64","78239","32687","2778","8621.706341","78239","25","77.58914993","0.217431139","0.001619772"
"65","78240","55756","4740","8533.006895","78240","41","73.80870943","0.279515","0.002708853"
"66","78242","31814","4777","14613.9256","78242","48","146.8428781","0.195385628","0.001881517"
"67","78244","33128","3600","10499.30005","78244","41","119.5753616","0.310727524","0.001743976"
"68","78245","87105","10164","11119.86346","78245","123","134.567415","0.511141486","0.008017727"
"69","78247","50358","4187","8456.877399","78247","29","58.57402545","0.338586399","0.003150433"
"70","78248","13934","967","6999.131442","78248","14","101.3317892","0.166139348","0.000964216"
"71","78249","57928","5132","8993.726122","78249","49","85.87150818","0.301737053","0.003557857"
"72","78250","55375","4841","8868.736832","78250","43","78.77622057","0.313230622","0.002336111"
"73","78251","59980","5730","9681.670722","78251","53","89.55123006","0.286268629","0.003494954"
"74","78252","14611","2420","14397.0492","78252","20","118.9838777","0.545708595","0.007323314"
"75","78253","55635","4904","8641.86653","78253","46","81.06155391","0.373568112","0.008029282"
"76","78254","69088","6279","8693.184178","78254","84","116.2967783","0.632954165","0.006049785"
"77","78255","18495","1174","6357.28597","78255","12","64.98077652","0.5193122","0.003927291"
"78","78256","12856","1150","8587.216249","78256","7","52.27001195","0.233368174","0.002019188"
"79","78257","9807","1108","10665.12658","78257","16","154.009048","0.632339516","0.01387363"
"80","78258","49810","4089","8284.035656","78258","45","91.16693679","0.403847744","0.004083756"
"81","78259","28293","2156","7392.929397","78259","43","147.4471076","0.30299657","0.004198247"
"82","78260","36255","2942","7959.95671","78260","46","124.4588745","0.407155779","0.005817656"
"83","78261","23828","2041","8353.456391","78261","13","53.2067286","0.474301719","0.00674324"
"84","78263","5228","460","8923.375364","78263","4","77.59456838","0.680811731","0.010404844"
"85","78264","13113","1549","11836.1733","78264","9","68.77053565","0.726860356","0.016810645"
"86","78266","1362","77","5539.568345","78266","3","215.8273381","0.454406296","0.002098112"
