"area","population","doses_administered","people_vaccinate_with_one_dose","percent_of_population","fully_vaccinated"
"Anderson County",57863,30792,18143,0.3136,14748
"Andrews County",17818,11455,6253,0.3509,5423
"Angelina County",87607,50977,28488,0.3252,24510
"Aransas County",24763,20931,11750,0.4745,9935
"Archer County",8789,5834,3217,0.366,2932
"Armstrong County",1916,1100,614,0.3205,513
"Atascosa County",48828,31978,18228,0.3733,15028
"Austin County",29565,19739,11401,0.3856,9602
"Bailey County",7092,4056,2287,0.3225,1978
"Bandera County",21763,14467,8264,0.3797,7176
"Bastrop County",82577,66111,38578,0.4672,29584
"Baylor County",3591,2201,1191,0.3317,1113
"Bee County",32691,22935,12552,0.384,10891
"Bell County",342236,178886,103289,0.3018,83632
"Bexar County",1925865,1680895,951867,0.4943,781524
"Blanco County",11279,9745,5386,0.4775,4723
"Borden County",665,279,161,0.2421,141
"Bosque County",18122,11946,6774,0.3738,5895
"Bowie County",93858,40672,23642,0.2519,19748
"Brazoria County",353999,300377,167680,0.4737,144990
"Brazos County",219193,174262,97803,0.4462,82192
"Brewster County",9216,8102,4629,0.5023,3919
"Briscoe County",1546,917,491,0.3176,450
"Brooks County",7180,6024,3323,0.4628,2811
"Brown County",37834,18172,11388,0.301,10072
"Burleson County",17863,12041,6820,0.3818,6039
"Burnet County",45750,34057,19524,0.4268,16711
"Caldwell County",41401,30238,17667,0.4267,14310
"Calhoun County",21807,14735,8500,0.3898,7511
"Callahan County",13770,6908,3949,0.2868,3457
"Cameron County",421750,437639,246961,0.5856,204726
"Camp County",12813,7220,4076,0.3181,3389
"Carson County",6032,2884,1582,0.2623,1376
"Cass County",30087,12921,7564,0.2514,6429
"Castro County",7787,4175,2378,0.3054,1943
"Chambers County",40292,25017,14960,0.3713,10760
"Cherokee County",51903,25066,14458,0.2786,12325
"Childress County",7226,4873,2833,0.3921,2599
"Clay County",10387,6695,3615,0.348,3344
"Cochran County",2904,1464,859,0.2958,780
"Coke County",3275,1925,1072,0.3273,911
"Coleman County",8391,4292,2408,0.287,2105
"Collin County",944350,1015659,561826,0.5949,480874
"Collingsworth County",2996,1421,821,0.274,714
"Colorado County",21022,15428,9022,0.4292,7917
"Comal County",135097,129360,74517,0.5516,61910
"Comanche County",13495,8290,4697,0.3481,4179
"Concho County",4233,1999,1170,0.2764,922
"Cooke County",39571,22568,12719,0.3214,10867
"Coryell County",75389,36505,21002,0.2786,17022
"Cottle County",1623,797,450,0.2773,403
"Crane County",4839,2277,1402,0.2897,901
"Crockett County",3633,2204,1193,0.3284,1040
"Crosby County",5861,3767,2013,0.3435,1827
"Culberson County",2241,1933,1034,0.4614,909
"Dallam County",7243,4514,2578,0.3559,1983
"Dallas County",2586552,2126482,1213627,0.4692,987307
"Dawson County",12964,5719,3271,0.2523,2830
"Deaf Smith County",18899,9706,559,4.296,4738
"Delta County",5215,2511,1383,0.2652,1221
"Denton County",807047,786967,438190,0.543,371891
